class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21
A,0.29584911465644836,0.6796134114265442,0.2090378850698471,0.6129261255264282,0.14788323640823364,0.5224148035049438,0.12574760615825653,0.439132958650589,0.130589097738266,0.3804073929786682,0.1790519654750824,0.46074822545051575,0.17199917137622833,0.36569899320602417,0.18085435032844543,0.385367751121521,0.18563434481620789,0.42649930715560913,0.24056567251682281,0.46719875931739807,0.24112719297409058,0.3902515172958374,0.24978196620941162,0.464661568403244,0.2511325776576996,0.5320500135421753,0.30118605494499207,0.4830985963344574,0.30271533131599426,0.4307228624820709,0.30211007595062256,0.5062283277511597,0.2959461212158203,0.5720829367637634,0.3627261519432068,0.5070970058441162,0.36239317059516907,0.4522410035133362,0.3518493175506592,0.5043882727622986,0.3405158221721649,0.5539275407791138
A,0.27791449427604675,0.7281267642974854,0.16868403553962708,0.6345564723014832,0.10712496936321259,0.4895862340927124,0.10456092655658722,0.3682025074958801,0.12610270082950592,0.26164838671684265,0.22320418059825897,0.39519405364990234,0.18803012371063232,0.3427131175994873,0.16879618167877197,0.4312038719654083,0.1664714217185974,0.5099493265151978,0.3039688766002655,0.40266770124435425,0.2553728222846985,0.36883023381233215,0.2299250215291977,0.48726049065589905,0.23318612575531006,0.5764233469963074,0.3826135993003845,0.43265438079833984,0.32981687784194946,0.4105266034603119,0.29328978061676025,0.5270583033561707,0.28439414501190186,0.6143322587013245,0.4589141011238098,0.4826076030731201,0.4023382365703583,0.4557943344116211,0.3599270284175873,0.5384724736213684,0.35281267762184143,0.6056095361709595
A,0.2733038365840912,0.7504243850708008,0.15381848812103271,0.6491185426712036,0.08793210983276367,0.4929690361022949,0.09078988432884216,0.37073495984077454,0.11425971984863281,0.26893746852874756,0.2091839611530304,0.39397287368774414,0.18040253221988678,0.3258673846721649,0.16416990756988525,0.4355941414833069,0.16832304000854492,0.5286322832107544,0.29683399200439453,0.41102343797683716,0.253846675157547,0.3695685565471649,0.23238085210323334,0.5029028654098511,0.24601201713085175,0.6022435426712036,0.3773258924484253,0.44672805070877075,0.3205394744873047,0.42210862040519714,0.29046764969825745,0.5493869185447693,0.2920439839363098,0.6439042091369629,0.4507582187652588,0.4951442778110504,0.3924967050552368,0.47512924671173096,0.35311001539230347,0.5585423111915588,0.34897175431251526,0.6240103244781494
A,0.2607787251472473,0.758577823638916,0.14244917035102844,0.6581445932388306,0.08154216408729553,0.4967556297779083,0.09010213613510132,0.3737696707248688,0.11569853127002716,0.27378228306770325,0.20428960025310516,0.3968580961227417,0.16571354866027832,0.3347052335739136,0.1479358673095703,0.4502279460430145,0.15059882402420044,0.542937159538269,0.29296842217445374,0.41706350445747375,0.2359216809272766,0.3770478367805481,0.21600782871246338,0.5154405236244202,0.22981512546539307,0.61620032787323,0.37497225403785706,0.45463865995407104,0.3048747777938843,0.43152809143066406,0.2786354720592499,0.5639352202415466,0.28203681111335754,0.6593436598777771,0.449753999710083,0.5025022029876709,0.38086724281311035,0.48420289158821106,0.3437820374965668,0.5677157640457153,0.34131643176078796,0.6322365999221802
A,0.26473310589790344,0.7616434097290039,0.14403313398361206,0.6702123880386353,0.07773053646087646,0.5055185556411743,0.08088627457618713,0.3797951936721802,0.10152196884155273,0.27695661783218384,0.18343545496463776,0.40031811594963074,0.153170645236969,0.3216036260128021,0.14310893416404724,0.4364513158798218,0.15373624861240387,0.532617449760437,0.27654147148132324,0.42089760303497314,0.2347794771194458,0.3826305568218231,0.22474049031734467,0.5227157473564148,0.24035249650478363,0.6212536096572876,0.3586088716983795,0.4580766260623932,0.30910158157348633,0.4359627366065979,0.2867991030216217,0.5730742812156677,0.28916481137275696,0.6746174097061157,0.4326719641685486,0.5048094987869263,0.38697388768196106,0.4882243573665619,0.35597169399261475,0.5735282897949219,0.3506435453891754,0.6387454271316528
A,0.2624642848968506,0.7759783864021301,0.137366384267807,0.6639752984046936,0.07464423775672913,0.5111838579177856,0.07924410700798035,0.3925414979457855,0.09379900991916656,0.289153516292572,0.1883089244365692,0.4199252426624298,0.16027578711509705,0.34425026178359985,0.14351487159729004,0.46143144369125366,0.1466437727212906,0.5588420033454895,0.27817949652671814,0.440813273191452,0.23426453769207,0.39105847477912903,0.21627214550971985,0.5265908241271973,0.23002833127975464,0.6290798783302307,0.36107733845710754,0.47669005393981934,0.3050803542137146,0.44616711139678955,0.27588269114494324,0.5726335048675537,0.27588987350463867,0.6700149774551392,0.4365711212158203,0.5246368646621704,0.385364830493927,0.49487659335136414,0.34371334314346313,0.575242280960083,0.3329022526741028,0.641326367855072
A,0.2650010585784912,0.7790038585662842,0.14216268062591553,0.6836474537849426,0.07151730358600616,0.5184180736541748,0.0719451755285263,0.39334428310394287,0.09070424735546112,0.29467570781707764,0.17446890473365784,0.4184011220932007,0.14318187534809113,0.3347999155521393,0.13665296137332916,0.45190730690956116,0.14659547805786133,0.5473957657814026,0.26714035868644714,0.4409751296043396,0.2274104207754135,0.3890657424926758,0.2172071635723114,0.5279860496520996,0.22905586659908295,0.6270760893821716,0.3488369584083557,0.4764115512371063,0.30179497599601746,0.44341158866882324,0.279828280210495,0.5801408886909485,0.2799575924873352,0.6805216073989868,0.4248858094215393,0.5207074880599976,0.3837779760360718,0.4897344708442688,0.35455137491226196,0.5759278535842896,0.3484143018722534,0.6409770846366882
A,0.2771471440792084,0.7745088338851929,0.1500367820262909,0.6930565237998962,0.0764293521642685,0.5379003286361694,0.07676257193088531,0.41476768255233765,0.08806619048118591,0.3100689649581909,0.177451491355896,0.43984293937683105,0.14925891160964966,0.357718288898468,0.13900038599967957,0.46670031547546387,0.1510893553495407,0.5618533492088318,0.2658815383911133,0.4518682360649109,0.22886303067207336,0.3929363787174225,0.21488900482654572,0.5283851623535156,0.2351635843515396,0.6296438574790955,0.34969770908355713,0.48054537177085876,0.3054445683956146,0.4462125599384308,0.2831586003303528,0.5813624858856201,0.2900553345680237,0.6807520985603333,0.4258424937725067,0.5201380848884583,0.3829798102378845,0.4989243447780609,0.35042721033096313,0.5883062481880188,0.3479140102863312,0.6539908051490784
A,0.2822033166885376,0.7884645462036133,0.15281063318252563,0.698610782623291,0.07782679796218872,0.5460575819015503,0.07540984451770782,0.42527759075164795,0.08973528444766998,0.3202410042285919,0.18807052075862885,0.4481360912322998,0.16024211049079895,0.371570885181427,0.14851704239845276,0.4816935062408447,0.15827399492263794,0.5767195820808411,0.27718260884284973,0.4616382420063019,0.24056407809257507,0.4076201319694519,0.22427698969841003,0.5410976409912109,0.2429528832435608,0.641417920589447,0.36029911041259766,0.49255406856536865,0.31341779232025146,0.4579252302646637,0.2870333194732666,0.5865846276283264,0.2934033274650574,0.6831774115562439,0.43596822023391724,0.5355552434921265,0.3899421989917755,0.5098454356193542,0.3535778522491455,0.5941987633705139,0.3507154881954193,0.6593343019485474
A,0.28464752435684204,0.7952532768249512,0.15971308946609497,0.7078628540039062,0.08502857387065887,0.5568539500236511,0.08115167915821075,0.4343719482421875,0.09511035680770874,0.3249959945678711,0.17890664935112,0.45024681091308594,0.15507453680038452,0.3664500117301941,0.155344158411026,0.48123762011528015,0.1650242805480957,0.5758544206619263,0.2703448534011841,0.4655529856681824,0.24057325720787048,0.4058227241039276,0.23319236934185028,0.5394055247306824,0.24421900510787964,0.6419122815132141,0.35649174451828003,0.49740344285964966,0.3174131214618683,0.4640044569969177,0.29768282175064087,0.5942085981369019,0.29337838292121887,0.6946601271629333,0.4354780912399292,0.53980952501297,0.3966994285583496,0.5121285915374756,0.3662872314453125,0.5972700715065002,0.3531796634197235,0.6644436120986938
